,language,sentences,Dependency_length,Intervener_Complexity,Sentence_length,Memory_load
6131,Polish,Nie wierzę w magiczne technologie w najbliższym czasie.,23,11,8,5
6132,Spanish,"A pesar de que la programación dinámica es extensible a más de dos secuencias, es prohibitivamente lenta para un alto número de secuencias extremadamente largas.",75,38,25,16
6133,Romanian,"Franțozul, vădzînd că nu priimăsc moscalii pre socru-său Lișinschii crai în Țara Leșască, și cu nemții, ș-au dat cote cu Turcu să-nceapă el gîlceavă la nemți, și Turcul să dea agiutor leșilor împotriva moscalilor.",137,70,34,25
6134,Swedish,"Och ändå säger han ju, inföll Quinn, att Cid Hamete Benengelis version av berättelsen om Don Quijote är den enda sanna.",51,27,21,15
6135,Greek,"Εξάλλου , δε σου 'χω κάνει καμιά σπουδαία αποκάλυψη.",23,13,9,6
6136,Greek,"Ο ΙΣΑ τονίζει ότι παρά το γεγονός ότι είχε προειδοποιήσει για την επερχόμενη επιδημία, ο πληθυσμός έμεινε ακάλυπτος, επισημαίνοντας χαρακτηριστικά ότι ""για ένα εμβόλιο των 6 ευρώ πεθαίνουν άνθρωποι"".",159,70,29,16
6137,Portuguese,"Montoro disse que sobre esses US$ 15 bilhões o governo deixa de pagar US$ 1,5 bilhão/ano de juros anuais, mais US$ 1,5 bilhão/ano em amortizações de dívidas e mais US$ 2 bilhões/ano em aportes de capitais às empresas.",167,95,38,19
6138,English,"In 1687 and 1689 he took part in expeditions against the Tatars in the Crimea, being made a full general.",67,43,20,15
6139,Ukranian,Прем`єр-ліга.,4,4,1,2
6140,Danish,"Han holder åbent hus hver torsdag fra klokken 18, hvor hele familien er velkommen til at se, hvad der går for sig.",74,38,22,17
6141,Polish,Klub przeniósł się do osiedlowych garaży pod blokami.,19,10,8,3
6142,Danish,Han arrangerede også forretningsrejser med det ene formål at opstøve velegnede ofre.,33,15,12,5
6143,Portuguese,«As torcidas partem para cima da PM a fim de que nos concentremos num só local.,46,29,16,7
6144,Romanian,"Şi copiii numai au rămas cu vro 10,-15 pungi de bani.",29,16,11,4
6145,Croatian,Ta naša djeca u Cibaliji i Osijeku već su na sceni.,24,14,11,6
6146,Korean,철저하게 믿지 않는 한 무엇을 믿는가 하는 것은 거의 문제가 되지 않는다.,22,20,12,6
6147,Portuguese,"A atriz e apresentadora norte-americana de TV Ricki Lake e outras 14 pessoas passaram a noite de anteontem na cadeia em Nova York, depois de haverem realizado um protesto nos escritórios do estilista Karl Lagerfeld em Manhattan.",129,71,37,18
6148,Dutch,Hoe noemt men kippen die vrij rondlopen in tegenstelling tot kippen in legbatterijen?,35,20,13,8
6149,Finnish,hyppien keikkuen,1,1,2,1
6150,German,Eine Prüfung binnen Wochenfrist kostet hier 79 US-Dollar .,15,11,9,2
6151,Romanian,"Şi voi face ciude în ceriu sus, și seamne pre pămînt gios, sînge și foc și pară de fum.",70,38,19,11
6152,German,"In den USA wurden jetzt zwei Hochstapler entlarvt , nachdem sie - nur mit einem Computer "" bewaffnet "" - das Internet für besonders spektakuläre Täuschungsmanöver nutzten .",153,90,28,10
6153,Croatian,Od 2012. Suško je dopisni član Hrvatske akademije znanosti i umjetnosti.,29,15,11,5
6154,Portuguese,Feira é boa oportunidade para comparar qualidade de impressão dos modelos de baixo preço; veja também os novos monitores,43,24,19,8
6155,Italian,Non è ancora cominciata la notte che già la città è sprofondata nel silenzio e nel deserto.,53,27,17,12
6156,Romanian,"Şi n-o să rămână tristețea la voi, Şi prin ceață iese soarele, Şi nici cât un fir de mac în patru despicat N-o să rămână urgie, Şi va fi tot timpul bucurie.",187,80,32,18
6157,Slovenian,Rákosi je znova postal vodja Madžarske.,11,7,6,1
6158,Lithuanian,"Tačiau nei merginoms, nei vaikinams šie sunkumai per trejus metus nekinta.",37,23,11,5
6159,Swedish,Håll er egen takt och håll fast vid den.,30,15,9,2
6160,English,Kayani is well known and liked in Kabul as during the last year he led the Pakistani delegation in the tripartite military meetings with the Afghan and US military on issues related to border issues.,101,59,35,22
6161,Italian,"ha perso la vista nel Viet, ma è in grado col suo bastone foderato in rasoio di far giustizia, di guidare, compiere acrobazie.",81,40,23,13
6162,Spanish,"Esto ha hecho que las investigaciones se centren en los llamados grupos de alto riesgo: drogadictos (transmisión sangre-sangre por medio de jeringuillas infectadas), homosexuales (transmisión esperma-sangre a través de pequeñas heridas), receptores de sangre en grandes cantidades, sobre todo hemofílicos (transmisión sangre-sangre, por medio de transfusiones).",281,134,46,17
6163,German,"Eine internationale Organisation der Sinti und Roma will den Computer-Konzern IBM vor einem Schweizer Gericht wegen "" Beteiligung an Verbrechen gegen die Menschlichkeit "" zur Verantwortung ziehen .",121,82,28,8
6164,Catalan,"També s'haurà de preveure inicialment un aparcament per a mil cotxes, ampliable en el futur.",51,22,15,10
6165,Korean,"셋째, 분화된 역할과 직무를 위계적으로 조직하고 의사결정이나 정보의 흐름이 상층부에서 중간층위를 거쳐 하위의 직책에까지 수직적으로 하달된다.",42,32,16,11
6166,German,Die Zahl der Studienanfänger für Elektrotechnik nehme auf Grund gemeinsamer Anstrengungen von ZVEI und Hochschulen seit vorigem Jahr und in der Informatik bereits seit 1996 wieder zu .,103,72,28,11
6167,Danish,"Vi kan altså se, at råolie er en blanding af en hel række forskellige væsker.",49,18,15,11
6168,German,"Ein bedeutender Anteil der Gebühren entfalle auf die sogenannten Abrechnungsgebühren ( accounting rates ) , die auf die Transferpreise zwischen den Betreibern umgelegt werden .",83,52,25,11
6169,Croatian,"Kako propisuje novi Zakon o zdravstvenoj zaštiti, bolnički menadžment svest će se na ravnatelja i njegova zamjenika, u domovima zdravlja i bolnicama njima će se pridružiti glavna sestra koja postaje pomoćnik za sestrinstvo, a samo u kliničkim bolnicama ravnatelji će moći imati i pomoćnika za financijsko poslovanje.",221,90,47,24
6170,Korean,자기 동포들 사이에서는 선전에 상당한 성공을 거두었다는 점도 아메스와 비슷했다.,16,18,10,4
6171,Catalan,"El dissabte , 13 de gener, també a les 11:00 de la nit, el BILL MCHENRY QUINTET (BILL MCHENRY, saxo tenor; BENET PALET, trompeta; JOAN MONNÉ, piano; GIULIA VALLE, baix; JOE SMITH, bateria).",186,87,33,12
6172,Greek,Η εξάλειψη της ανεργίας δεν επιτυγχάνεται ωραιοποιώντας τα στατιστικά στοιχεία της αγοράς εργασίας.,28,18,13,5
6173,Ukranian,"Воно приємне, а до хорошого звикаємо швидко.",23,14,7,2
6174,Slovenian,tako pet iks minus tri je enako ena,6,6,8,4
6175,Korean,한국은 공간적 집을 긴 시간의 연속적 개념으로 파악하고 있었다.,16,17,9,2
6176,Croatian,Rijeka je kupila brod za 107.000 eura.,15,9,7,1
6177,Finnish,Palatsi onkin nimenomaan helposti avautuva .,11,5,6,2
6178,Romanian,"Şi alt înger, venind după el, zise: ""Căzu, căzu Vavilonul, orașul cel mare, că cu vinul urgiei curviei lui adăpă toate limbile"".",129,68,22,15
6179,German,"Daß Apple sich damit womöglich mehr schadet als nutzt , steht auf einem anderen Blatt .",44,24,16,9
6180,Greek,"Επομένως, δηλώνω και ισχυρίζομαι με σαφήνεια: το λόμπι που εργάζεται ενάντια σε αυτό είναι ουσιαστικά ένα λόμπι, το οποίο υποστηρίζει μόνο εκείνους που παραβιάζουν τους κανόνες και δεν σέβονται τις ρυθμίσεις.",116,65,31,22
6181,Norwagein,Martin og Shabana har unnskyldt at det står en plante i badekaret.,30,18,12,5
6182,Portuguese,"Um advogado nova-iorquino transformou seu apartamento no Brooklyn num paraíso tropical, com árvores, um sol artificial e pelo menos cinco jacarés na foto, os policiais no momento da retirada de um deles.",121,62,32,14
6183,French,"On a montré récemment que le corps basal du flagelle est similaire au système de sécrétion de type III (TTSS), une structure en forme d'aiguille que des germes pathogènes tels que la salmonelle et Yersinia pestis utilise pour injecter des toxines dans les cellules eucaryotes.",251,116,45,18
6184,Swedish,Användarna kan ändra pivottabellistans layout i körtid.,14,9,7,1
6185,Russian,Победили-то мясом.,7,4,2,2
6186,German,Bei deutschen Versendern bezahlen Privatkunden für die meisten AMD-Prozessoren ebenfalls weniger als den in Deutsche Mark umgerechneten 1000er-Dollarpreis zuzüglich Mehrwertsteuer .,71,49,21,8
6187,Polish,Dopiero po północy sam w parku zostałem.,13,11,7,4
6188,Croatian,Kako nositi crveno-zlatnu kombinaciju?,16,7,4,2
6189,Catalan,Això ha provocat que hi hagi gran quantitat de línies elèctriques que travessen la comarca en totes direccions.,47,25,18,11
6190,Japanese,__　__,5,4,2,2
6191,Ukranian,Спеціальну премію імені Майкла Джексона за досягнення у музичній кар’єрі вручили барбадоській виконавиці у стилі ритм-н-блюз Ріанні.,53,34,17,12
6192,Catalan,"En relació amb les ferides sofertes per la ministra colombiana, Moore va dir que ""ha tingut algunes dificultats"" en intentar entrar al centre de convencions, però va afegir: ""He pogut parlar amb ella i es troba bé"".",157,72,37,21
6193,Chinese,全鎮農民人均純收入的80%都來自五大支柱產業，田頭已初步培育起草席、魚苗、牛肉、糧食、廢舊物資回收加工和羽絨收購等六大專業市場。,212,73,1,17
6194,Croatian,Prvim pogledom na staru rampu vidljivo je da je ona jednostavno neadekvatna za ono čemu bi trebala služiti.,51,23,18,11
6195,Norwagein,"Han var veldig intelligent, du kunne ha en samtale med ham om nesten alt.",46,22,14,11
6196,German,"Gegen dieses Konzept sind allerdings sofort Stimmen laut geworden , die vor Urheberrechtsproblemen warnen .",47,27,15,9
6197,Portuguese,"São as mesmas pessoas que acham que sua responsabilidade social se limita a pagar impostos», diz Letícia Zioni Gomes, 16.",72,37,20,16
6198,Portuguese,Rarará!,1,1,1,0
6199,English,"Your ruling planet, Jupiter, will be in a special relationship with Pluto - called ""mutual reception"" - in 2005.",83,42,19,14
6200,Swedish,Det kan finnas vissa skillnader i pivottabellvyn efter att du exporterat den till Excel.,40,20,14,8
6201,Romanian,"Nezăbovind vreme, au şi venit Şeremet la Țoțora cu obuzul lui, ca vro 15000 oaste.",53,29,15,10
6202,English,No no Sherry.,4,3,3,0
6203,Norwagein,Er det viktig her å ha et nært samarbeid med EU i en slik sammenheng?,48,22,15,7
6204,Norwagein,Det er bare å få den opp derfra.,20,8,8,3
6205,Japanese,______________________,0,0,1,0
6206,Norwagein,13.40:,1,1,1,0
6207,Greek,"Οι τεχνολογικές εξελίξεις, αλλά και οι αυστηρότερες απαιτήσεις ως προς το περιβάλλον και την ασφάλεια, συνιστούν κατά τη γνώμη μας επαρκή επιχειρήματα για να προβληθεί το αίτημα όχι μόνο να βελτιωθεί η κατάρτιση των οδηγών αλλά και να συνεχίζεται με τακτική συνεχή κατάρτιση.",150,69,43,20
6208,French,"et vous appartenez à ce qu'on appelle les flying doctors de la Mref qui est une, une association des médecins et de, de, de recherche qui est basée ici, à, à Nairobi, au Kenya ?",190,64,35,20
6209,Slovenian,"V teh dneh pričakujejo tudi pravno mnenje, ki je drugačno od vladnega in po katerem naj bi bilo mogoče sanacijski program spreminjati tudi večkrat.",78,39,24,15
6210,Danish,"At Emeka Ezeugo går hen og dummer sig både på egne og hans kollegers vegne, er både uheldigt, men også temmelig dumt.",84,43,22,11
6211,Norwagein,"Bytter ut noen pilletyper når moren sier hun blir veldig sløv av dem, men fortsetter å skrive ut Paralgin Forte og andre sterke tabletter jevnlig.",93,43,25,21
6212,Portuguese,"Já pensando no Mundial da Grécia, que será disputado em setembro em Atenas, o técnico brasileiro retoma o comando dos treinos da equipe a partir da próxima segunda-feira.",89,50,28,13
6213,Catalan,"El jutge exculpa els alcaldes socialistes de Mataró i Olesa de Montserrat, Manuel Mas i Enric Térmens, i el president del Patronat Municipal de l'Habitatge, Eugeni Forradellas, d'IC-V.",118,57,28,13
6214,Dutch,"Een theorie, waaraan Mc. Luhan niet vreemd is.",38,17,8,8
6215,Russian,Та ещё конторка,3,2,3,0
6216,English,show flights from denver to oakland,8,7,6,6
6217,Japanese,____________________,0,0,1,0
6218,Catalan,Els tres jutges d'Atlanta van indicar en la seva resolució de 33 pàgines que donen als familiars de Miami 14 dies per presentar al·legacions.,85,43,24,12
6219,German,"Auslöser für die Kritik war ein Papier des Vorsitzenden des Bundestags-Unterausschusses für Telekommunikation und Post , Klaus Barthel ( SPD ) .",67,44,22,10
6220,Finnish,Ponnistusvaihe päättyy lapsen syntymään.,7,5,4,2
6221,Danish,"- Han er sikkert flintret afsted på en cykel ti minutter efter, at han var landet.",56,24,16,12
6222,Dutch,"Zestig jongeren begaven zich naar het zwembad, forceerden de toegangshekken en doken in het water.",51,26,15,10
6223,Portuguese,"Este último documento terá sido adquirido no Centro Comercial Dallas, no Porto, por 15 contos e destinava-se a ser usado numa viagem a França.",87,39,24,12
6224,Korean,비빔국수 맛이 자극적이지만 특이하고 땡겨요,6,5,5,2
6225,Portuguese,Lixos hospitalares na mira da Quercus,8,5,6,4
6226,Polish,Sprawą zajmują się policjanci z 6 komisariatu na Górnej.,21,12,9,5
6227,Greek,« Περιττό να σας πω ότι η συνάντησή μας δεν έγινε ποτέ και αυτά που σας είπα θα μείνουν τελείως μεταξύ μας ».,86,40,23,14
6228,Chinese,1928年2月22日，卡爾·威廉·雷睦斯在海德堡發現了此行星。,26,17,1,5
6229,Lithuanian,"Klausos sukelti potencialai (KSP) yra elektroencefalogramos pokyčiai, kuriuos sukelia sensoriniai klausos dirgikliai.",34,20,12,7
6230,Greek,"Στο τέλος των συνομιλιών, στις 30_Ιουλίου, υπέγραψαν διακήρυξη, τα κύρια σημεία της οποίας ήταν:",51,27,14,8
6231,Catalan,"Totes les entrades i abonaments es poden aconseguir a les oficines del Palau d'Esports i Congressos, i estan destinades a la franja d'edat d'entre 3 i 16 anys inclòs (la resta, igual que els adults tenen l'entrada gratuïta).",161,87,38,22
6232,Swedish,Vi sitter på en stenmur över trädgården och dricker akvavit.,28,15,10,4
6233,Chinese,家境為書香世家，父親方聲恆是美國麻省理工學院的博士，太空農業專家，曾在台灣大學任物理系教授。,128,56,1,15
6234,Croatian,Paljenju svijeća pridružio se i zagrebački ogranak HDZ-a.,21,11,8,4
6235,Korean,여기서 논리적으로 잘못된 건 없습니다.,8,9,5,2
6236,English,"Then there were the Enemy starfighters themselves: hundreds at least, swarming about like a huge wall of locusts.",54,33,18,17
6237,Portuguese,"Quase metade dos valores registados destinam-se ao país vizinho e, desse montante, cerca de 95 por cento terá sido aplicado na indústria.",85,43,22,11
6238,Croatian,"Mnogi članovi stranke smatrali su da je Lagumdžijina odluka o ulasku u koaliciju sa Strankom demokratske akcije (SDA) bila autokratska -- a potpunom izdajom proglasila ju je i većina stranačkih krugova, kao i građana koji su izrazili potporu SDP-u na izborima.",207,102,41,22
6239,Korean,회사가 이익을 내고 있다면 자금 면에서 곤란함이 없기 때문에 도산한다는 것은 상식적으로 이해가 되지 않는 일이다.,28,28,16,9
6240,Romanian,"Ce încă mai vîrtos, jidovilor înturnați cătră Hristos, carii-s rășchirați în Asiia, cum să arată în doao, ca atunci din multe țără, anume din Cappadochiia și din Pont și din Asiia, să strînsără în Ierosalim la praznic.",168,82,37,21
6241,Finnish,"On parasta, että lähdette nyt.",13,7,5,2
6242,Lithuanian,"Jokių vaikų, suprantama – nes trukdo karjerai, savirealizacijai, poilsiui ir t. t.",32,20,12,6
6243,Finnish,"USA:n yleisurheilun suurin takaisku oli , ettei parhaasta yleisurheilijasta kasvanut amerikkalaisyleisön suurta suosikkia .",40,25,14,8
6244,Swedish,Hon hade på sig en svart klänning och knallrött läppstift.,27,14,10,3
6245,Finnish,"Mitä hän ajattelisikaan , jos näkisi minut ?",15,8,8,5
6246,Italian,"Così di ponte in ponte, altro parlando che la mia comedìa cantar non cura, venimmo; e tenavamo 'l colmo, quando restammo per veder l'altra fessura di Malebolge e li altri pianti vani; e vidila mirabilmente oscura.",114,61,36,24
6247,Spanish,Los azulgranas se enfrentarán en las semifinales de la competición al rival más duro que podía tocarles de los tres que quedaban en el bombo.,78,39,25,10
6248,Polish,Baltazar obojętnie naciągnął mu spodnie.,9,5,5,0
6249,Romanian,"Are voe vechilul după ce va priimi și să va face vechil, să să leapede, ori pănă a nu înceape treaba, sau și în lucrare fiind, din cuviincioasă pricină, și zăticneală.",178,70,31,17
6250,Korean,이런 생각은 전반부 쪽을 살펴보는 경우 더욱 절실하게 된다.,15,16,9,2
6251,Chinese,這也讓以梁思成為代表的保留古建築派深感失望與氣憤。,35,23,1,9
6252,Lithuanian,"Šiai hipotezei įrodyti pasitelkiamas racionalus planų, strategijų ir motyvacijos spektras, o mažiau dėmesio susilaukia veiksniai, lūkesčiai ir gana nepakankamai – jausmai (ypač nostalgijos jausmas).",114,68,24,11
6253,German,"Intel überrascht mit 3,5-GHz-Prozessor",3,3,4,0
6254,Slovenian,če ne drugega imajo hude džingle no,12,9,7,4
6255,Danish,Stemmningen er helt tydelig,6,3,4,1
6256,Swedish,"Vägen till byn var alldeles säkert oframkomlig, och hunden rusade i väg över de dunmjuka ängarna, flåsande som en drake...",57,31,20,12
6257,Dutch,Weer was een driesprong hem en zijn hengst Corland te machtig.,31,14,11,1
6258,German,Eine rege Nachfrage nach den ersten Online-Aktien der Telekom kann Vorstandschef Ron Sommer nur recht sein :,39,28,17,8
6259,French,il ne le tire pas d'ailleurs.,15,8,6,3
6260,Italian,"""Quello che Balzac ha iniziato"", dice Lehan, ""Flaubert ha aiutato a finirlo.",56,24,12,10
6261,Italian,Poi viene in mente a Borgogni che il figlio del senatore Pd Nicola Latorre è stato assunto nella controllata Agusta Westland quando c'era Orsi alla guida.,95,49,26,12
6262,Japanese,________________________________,0,0,1,0
6263,Norwagein,Eller si sine første ord.,11,6,5,0
6264,Catalan,"Després de consumar-se el descens a Segona B per l'impagament de 180 milions als seus jugadors, l'alarma no es va contenir entre els aficionats i les institucions locals, que veien com el club estava abocat a la desaparició.",159,72,38,21
6265,Danish,"""Det handler om, at ensomheden og længslen efter kærligheden stadig bor i os og har det godt,"" siger instruktøren.",101,55,19,15
6266,Polish,Siedzę w archiwum i kartkuję dwie najbardziej zajmujące książki z jego biblioteki.,35,21,12,5
6267,Japanese,____________________________________,0,0,1,0
6268,Romanian,"Moav mi-a hi la căldări, Edom m-a-ncălța, Filistenii vor sluji de m-or desculța.",65,26,13,12
6269,Catalan,El debat sobre la corrupció.,11,6,5,3
6270,Romanian,"De m-aș duce la Crăciun, M-a prinde gerul pe drum, Și-aș merge la Bobotează, Dar nevasta greu oftează.",80,43,18,14
6271,Italian,Come si chiamava il cavallo di Stonewall Jackson?,16,10,8,1
6272,Polish,"Standardowe badanie USG skomplikowało się, kiedy ciężarna Margaert Boemer z miejscowości Plano w Teksasie dowiedziała się, że jej nienarodzone dziecko cierpi na rzadką chorobę i aby utrzymać je przy życiu, konieczna jest operacja.",146,74,33,23
6273,Portuguese,"Mas o resultado, surpreendentemente, foi o mesmo no que se refere à reconstituição do princípio da autoridade.",51,29,17,11
6274,Finnish,SIIVOUKSELLISTA SIELUNHOITOA : ),4,3,4,2
6275,French,"Aurélie Matéo est une actrice française, née à Paris le 27 décembre 1983.",32,18,13,9
6276,Polish,Bandyci zmienili więc prawdopodobnie rejon działania.,13,7,6,1
6277,Croatian,"""Što se tiče polemika o tome da naručitelji diktiraju dizajn, mislim da je to glupost.",58,29,15,12
6278,Norwagein,Statsråd Marit Arnstad:,4,3,3,1
6279,Catalan,La junta general d'accionistes de Jazztel va aprovar dimecres passat el nomenament de Joaquim Molins com a nou conseller de l'operadora.,64,37,21,9
6280,Polish,Przyjechali popołudniowym pociągiem.,6,4,3,0
6281,Japanese,__,1,1,1,0
6282,Norwagein,"Tyskeren, som selv snakker fransk med en sterk, tysk aksent, har sagt at Jolys måte å snakke på er «en fornærmelse mot det franske språket».",127,52,25,16
6283,Ukranian,Мій батько був великим щасливчиком.,8,6,5,1
6284,Croatian,"- On je živcirao sve Talijane, ali opet u isto vrijeme su ga svi i voljeli.",78,25,16,12
6285,Lithuanian,"Mums, žinoma, tai nepavyks, nes laiko liko mažiau, bet kas sakė, kad vaikų kambario, vonios ir prieškambario, taip pat miegamojo zonos negalite patikėti vaikams ir vyrui?",157,76,26,16
6286,Finnish,Sateen takia keli oli huono .,9,6,6,1
6287,Portuguese,Que perdeu apenas 4 pênaltis em sua vida.,22,15,8,1
6288,Portuguese,"Os contribuintes que pagarem seus tributos (IPTU, ISS etc.) hoje sairão ganhando, pois o cálculo será feito pela UFM de R$ 26,54.",81,47,22,14
6289,English,He has said that the Iraqis made surprising innovations in the milling and drying processes needed to weaponize anthrax.,55,34,19,12
6290,Slovenian,moške spolne celice,3,2,3,2
6291,Italian,Dove si trovano le Isole Pribilof?,11,7,6,0
6292,Lithuanian,"Todėl knyga reikalauja daug skaitytojo foninių žinių ir pastangų, kas gal paprastai nėra būdinga mokomajai knygai, tačiau labai vertinga mokomojo pobūdžio žinynui.",92,52,22,14
6293,Catalan,"Pep Sala ho farà a la tarda en un cartell que compartirà amb Carmen Virus, Xavi Vidal, Sr. González i els Magical Mystery Grup.",79,38,24,13
6294,Dutch,"In de gebruikershandleiding wordt aangegeven c.q. zou moeten worden aangegeven welke gegevens over gezinssamenstelling, erfelijke belasting en voorgeschiedenis geregistreerd moeten worden.",76,38,21,12
6295,Japanese,___________,10,10,1,3
6296,Italian,@user Che bel buongiorno !!!! Grazie e baci ..... buona giornata,32,15,11,7
6297,Japanese,眼科医だって患者だって、朝鮮人じゃないか。,28,17,1,9
6298,Portuguese,"«No seu todo o dia foi muito positivo», afirmou um «trader», que salientou estarem os mercados bastante activos.",65,36,18,15
6299,Polish,Teodor nie pozwolił sobie ich odebrać.,12,7,6,2
6300,Dutch,Nog zes jaar bracht Napoleon daar door voordat hij op 5 mei 1821 stierf.,49,21,14,9
6301,Portuguese,Os integrantes dos movimentos Pinheiros Vivo e Vila Olímpia Viva receberam com alegria a notícia.,35,22,15,8
6302,Slovenian,"DOLOČA, DA MINISTRSTVO ZA OBRAMBO MO LAHKO PRIPADNIKU STALNE SESTAVE ENOSTRANSKO ODPOVE POGODBO O ZAPOSLITVI V PRIMERU:",89,49,17,11
6303,Polish,Ja już nie mogę!,7,4,4,1
6304,Greek,"Εδώ οφείλω να εξηγήσω, εξ ονόματος της Επιτροπής, ότι από τη δική μας πλευρά δεν μπορούμε να ορίσουμε πότε θα γίνει η θετική δήλωση αξιοπιστίας και για την ταμειακή διαχείριση, διότι η απόφαση αυτή είναι υπόθεση του Ελεγκτικού Συνεδρίου, το οποίο από την πλευρά του δεν έχει θέσει κάποιο σημείο αναφοράς σχετικά με το πότε θα χορηγείται η δήλωση αξιοπιστίας.",250,107,60,27
6305,Japanese,ご飯やお菓子を食べているのに3~4キロも痩せてしまい、周りのみんなに「心配だから早くどこか所属して~」と言われていたらしい。,137,71,1,19
6306,Korean,스피노자가 물었다.,2,2,2,0
6307,Italian,"#Grillo difensore dei leghisti non si puo' sentire, all'opposizione della demoplutocrazia e del S.I.M #serviziopubblico @user",61,29,16,9
6308,Norwagein,De økonomiske problemene i fotballklubben Stabæk førte i november til at det var over og ut for lagets toårige historie med Telenor Arena som hjemmebane.,73,34,25,10
6309,Japanese,____________,11,11,1,3
6310,Lithuanian,"Pavyzdžiui, mokantis atsiprašyti, vaikai sužino, kad reikia žiūrėti į akis, pakeisti balso toną, pasakyti, dėl ko atsiprašai.",68,41,17,9
6311,Danish,Under rejser og ophold i udlandet følger sygeplejersker og hjælpere med.,27,19,11,6
6312,Italian,"Adinolfi: ""Kung fu Panda minaccia la famiglia tradizionale"". Di solito è la donna ad avere gli occhi neri. [@user]",43,28,19,16
6313,Romanian,"În 1917 este înscris la Liceul „Spiru Haret ” din București, iar în 1923 devine student la Facultatea de Filosofie.",68,38,20,11
6314,Lithuanian,"„Mus baugina, kad šioje judrioje gatvėje neatsivertų dar daugiau smegduobių.",36,19,10,3
6315,English,cynangon mod should work.,5,5,4,1
6316,Greek,Οι αυξήσεις τούς έχουν απογειώσει.,7,6,5,1
6317,Swedish,Alexander Solsjenitsyn håller kanske delvis med honom.,14,7,7,3
6318,Greek,Υπέθεσα ότι θα μπορούσε να σας ενδιαφέρει.,13,7,7,4
6319,Romanian,"Cu toate acestea, regula nu se aplică produselor care, deși nu pot fi fabricate din materialele menționate în listă, pot fi fabricate din materiale de aceeași natură, aflate într-un stadiu anterior de prelucrare.",138,73,33,18
6320,Finnish,Niiden joukossa on entinen luostari St. Peter and Paulin luostarikirkosta.,34,18,10,5
6321,Lithuanian,"Rudenį virš ganyklų skrenda lengvi kaip eteris voratinkliai, retkarčiais pakimba ant viksvos virš sudžiūvusio karvės blyno ir vilnija kaip dar šilti iššukuoti plaukai.",85,41,23,12
6322,Swedish,De började köpslå.,4,3,3,1
6323,Chinese,1991年和1992年刘德华以大热姿态继续包揽十大劲歌金曲最受欢迎男歌星奖，奠定了其在香港乐坛的偶像地位。,94,47,1,15
6324,Danish,"Det er lang tid siden.""",9,5,5,2
6325,Finnish,− Tässä joudutaan menemään kohti liittovaltioprosessia.,12,7,6,3
6326,Chinese,施思明博士于1998年10月27日故于美国宾夕法尼亚州匹兹堡市郊的长老会医院（Presbyterian Medical Center），美国多家主要媒体均刊载了施思明博士病故的消息。,136,60,3,10
6327,Korean,특히 주인공과 그의 적대자 사이에서 이 같은 명암은 확실해집니다.,22,21,9,3
6328,Korean,"KAL기 사건 직후, ""억울하고 분한 만큼 국력 신장을 위해 더욱 노력하자"" 며 눈물을 삼켰던 것이 불과 7년 전.",51,39,18,10
6329,Swedish,"Varenda dag såg kusten likadan ut, som om vi inte hade rört oss ur stället, men vi passerade flera samhällen – handelsplatser – med namn som Gran Bassam, Little Popo; namn som föreföll höra hemma i någon simpel fars utspelad mot en hotfull bakgrund.",132,67,44,27
6330,Danish,ILD I TRABANTER,3,2,3,0
6331,Croatian,"Najveća, Prva stambena štedionica iz grupe Zagrebačke banke, u prvih pola godine ostvarila je 18,6 milijuna kuna bruto dobiti.",66,36,19,10
6332,Japanese,_______________________,0,0,1,0
6333,Catalan,"La tardor de l'any vinent Círculo de Lectores programarà una exposició que recollirà cent d'aquestes obres, i que un cop inaugurada a Barcelona es presentarà als millors museus de les capitals occidentals, des de Madrid, París, Roma i Berlín fins als Estats Units, a mesura que en surtin edicions en diverses llengües.",243,126,52,25
6334,Dutch,De atleet is een iets mindere god,15,11,7,3
6335,Croatian,"Budući da neodržive ljudske aktivnosti predstavljaju dodatni čimbenik, dolazi do izraženih negativnih trendova.",34,21,13,9
6336,Lithuanian,"Tas pats atsitikdavo ir kai mėgindavau iš autobuso ar traukinio lipančiai moteriai ištiesti ranką – ranka prasmegdavo kažkur į vakuumą, imdavo tįsti, linkti, glebti, bejėgiškai stvarstyti drumzliną orą.",115,73,28,14
6337,Spanish,Tenso.,1,1,1,0
6338,Italian,RT @user: odiare qualsiasi tipo di canzone se viene impostata come sveglia.,32,18,12,8
6339,English,i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore,35,24,18,11
6340,Greek,"Ωστόσο, στις δηλώσεις της Μπολόνια και της Πράγας είχαν εξαγγελθεί παρόμοιες υποθετικά ταχύτερες μέθοδοι.",43,27,14,10
6341,Romanian,"Şi i-au dăruit un blid, plin de pietri scumpe și un diiamant ca un ou de porumbu.",52,27,17,10
6342,Lithuanian,"Visgi, nepaisant ekonominių ir ekologinių privalumų, darbas namuose yra nemažas iššūkis.",47,30,11,7
6343,Chinese,然而，他們最終在決賽中以2比5不敵荷蘭而無緣冠軍。,76,30,1,14
6344,Norwagein,"- I dette tilfellet var det HRS sitt ansvar å varsle AMK, men vi måtte først finne ut om det var personskade involvert, sier Øversveen.",114,43,25,16
6345,Ukranian,М. З.,1,1,2,1
6346,Finnish,"Vironmäki totesi, että yliopistot liian helposti viestivät organisaatiorakenteestaan käsin.",32,18,9,8
